Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2020-10-28,3.19,1.038,74.31871,18.06774
2020-10-29,3.24,1.047,75.29056,18.23958
2020-10-30,3.246,1.066,75.75336,18.31247
2020-11-02,3.327,1.07,77.68307,18.65943
2020-11-03,3.469,1.134,79.29607,18.9326
2020-11-04,3.325,1.104,77.13318,18.21959
2020-11-05,3.362,1.102,79.65649,18.78626
2020-11-06,3.378,1.109,78.27277,18.48107
2020-11-09,3.74,1.285,88.95822,21.12472
2020-11-10,3.74,1.344,88.02599,20.89597
2020-11-11,3.876,1.355,86.94137,20.70898
2020-11-12,3.725,1.324,86.43641,20.34919
2020-11-13,3.727,1.342,86.50288,20.47316
2020-11-16,3.888,1.388,88.88384,20.89869
2020-11-17,3.766,1.384,87.68313,20.80501
2020-11-18,3.848,1.416,86.72586,20.30251
2020-11-19,3.839,1.389,87.30734,20.3838
2020-11-20,3.809,1.378,86.28559,20.19129
2020-11-23,3.84,1.402,88.54417,20.57542
2020-11-24,3.996,1.502,92.42299,21.71925
2020-11-25,3.983,1.434,91.19647,21.69494
2020-11-26,3.979,1.411,91.19647,21.69494
2020-11-27,4.049,1.395,91.02651,21.76917
2020-11-30,3.883,1.346,88.27979,21.08889
2020-12-01,4.061,1.432,89.23169,21.38013
2020-12-02,4.184,1.469,91.40204,21.76453
2020-12-03,4.214,1.486,89.90064,21.43705
2020-12-04,4.227,1.486,90.80383,21.73978
2020-12-07,4.116,1.463,91.20024,21.76743
2020-12-08,4.004,1.464,91.3037,21.65095
2020-12-09,4.03,1.459,90.53175,21.53915
2020-12-10,4.031,1.418,90.36063,21.87077
2020-12-11,4.006,1.361,90.3977,21.60139
2020-12-14,4.034,1.424,88.71391,21.16235
2020-12-15,4.026,1.447,89.59047,21.32539
2020-12-16,3.97,1.442,89.57761,21.31987
2020-12-17,3.948,1.455,87.94092,21.18607
2020-12-18,3.878,1.45,88.16169,21.22603
2020-12-21,3.811,1.413,92.49832,22.26548
2020-12-22,3.838,1.46,91.09081,21.86868
2020-12-23,3.858,1.518,92.76125,22.28732
2020-12-24,3.86,1.546,91.97814,22.1303
2020-12-25,3.86,1.546,91.97814,22.1303
2020-12-28,3.86,1.546,93.17574,22.39816
2020-12-29,3.836,1.493,92.66864,22.24611
2020-12-30,3.83,1.489,92.18325,22.04574
2020-12-31,3.789,1.467,93.08476,22.2035
2021-01-01,3.789,1.467,93.08476,22.2035
2021-01-04,3.804,1.435,92.78343,22.13622
2021-01-05,3.786,1.432,92.16607,22.19614
2021-01-06,4.162,1.55,96.69239,23.63102
2021-01-07,4.171,1.561,100.28787,24.2545
2021-01-08,4.118,1.529,100.162,23.95434
2021-01-11,4.082,1.512,102.06269,24.44921
2021-01-12,4.128,1.542,102.92132,24.7064
2021-01-13,4.031,1.524,102.89589,24.53079
2021-01-14,4.082,1.529,103.1266,24.83016
2021-01-15,4.032,1.488,101.89622,24.26136
2021-01-18,4.03,1.513,101.89622,24.26136
2021-01-19,4.115,1.469,101.31376,24.05138
2021-01-20,4.08,1.463,99.67014,23.7062
2021-01-21,4.136,1.448,98.34427,23.17287
2021-01-22,4.074,1.431,97.80686,23.06455
2021-01-25,3.981,1.371,96.6496,22.79444
2021-01-26,4.002,1.394,95.81998,22.53131
2021-01-27,4.002,1.343,93.23999,21.75308
2021-01-28,3.954,1.366,94.79091,22.08947
2021-01-29,3.828,1.335,93.87859,21.63286
2021-02-01,3.837,1.348,94.77918,21.90699
2021-02-02,3.915,1.402,97.9043,22.7376
2021-02-03,3.886,1.418,98.94567,23.12198
2021-02-04,3.96,1.458,101.20791,23.79209
2021-02-05,3.925,1.472,100.47331,23.57096
2021-02-08,3.904,1.475,101.97933,24.07946
2021-02-09,3.95,1.477,101.15959,23.88027
2021-02-10,3.987,1.477,100.82299,23.80884
2021-02-11,3.974,1.46,100.83991,23.80711
2021-02-12,4.018,1.459,101.91933,24.07822
